Edge{X1=0.8367876570272816, Y1=0.5648148148148148, X2=0.826095985375622, Y2=0.5648148148148147, hue=55.781241059303284, saturation=1.0, brightness=1.0}
Edge{X1=0.38773744765757273, Y1=0.17592592592592593, X2=0.3930832834834026, Y2=0.18518518518518517, hue=56.24998927116394, saturation=1.0, brightness=1.0}
Edge{X1=0.22201653705684687, Y1=0.8148148148148147, X2=0.22736237288267672, Y2=0.8055555555555555, hue=56.7187374830246, saturation=1.0, brightness=1.0}
Edge{X1=0.826095985375622, Y1=0.5648148148148147, X2=0.8207501495497921, Y2=0.5555555555555555, hue=57.187485694885254, saturation=1.0, brightness=1.0}
Edge{X1=0.3930832834834026, Y1=0.18518518518518517, X2=0.38773744765757273, Y2=0.19444444444444445, hue=57.65623390674591, saturation=1.0, brightness=1.0}
Edge{X1=0.38773744765757273, Y1=0.19444444444444445, X2=0.377045776005913, Y2=0.19444444444444445, hue=58.12498211860657, saturation=1.0, brightness=1.0}
Edge{X1=0.8207501495497921, Y1=0.5555555555555555, X2=0.8260959853756219, Y2=0.5462962962962963, hue=58.12498211860657, saturation=1.0, brightness=1.0}
Edge{X1=0.8260959853756219, Y1=0.5462962962962963, X2=0.8367876570272816, Y2=0.5462962962962963, hue=58.593730330467224, saturation=1.0, brightness=1.0}
Edge{X1=0.22736237288267672, Y1=0.8055555555555555, X2=0.23805404453433646, Y2=0.8055555555555555, hue=58.593730330467224, saturation=1.0, brightness=1.0}
Edge{X1=0.377045776005913, Y1=0.19444444444444445, X2=0.3716999401800831, Y2=0.1851851851851852, hue=58.593730330467224, saturation=1.0, brightness=1.0}
Edge{X1=0.3716999401800831, Y1=0.1851851851851852, X2=0.3663541043542533, Y2=0.19444444444444445, hue=59.06247854232788, saturation=1.0, brightness=1.0}
Edge{X1=0.8367876570272816, Y1=0.5462962962962963, X2=0.8314418212014518, Y2=0.537037037037037, hue=59.53122675418854, saturation=1.0, brightness=1.0}
Edge{X1=0.23805404453433646, Y1=0.8055555555555555, X2=0.2433998803601663, Y2=0.8148148148148148, hue=59.999974966049194, saturation=1.0, brightness=1.0}
Edge{X1=0.8314418212014518, Y1=0.537037037037037, X2=0.8367876570272816, Y2=0.5277777777777778, hue=60.46872317790985, saturation=1.0, brightness=1.0}
Edge{X1=0.3663541043542533, Y1=0.19444444444444445, X2=0.35566243270259357, Y2=0.19444444444444445, hue=60.46872317790985, saturation=1.0, brightness=1.0}
Edge{X1=0.2433998803601663, Y1=0.8148148148148148, X2=0.24874571618599617, Y2=0.8055555555555555, hue=60.93747138977051, saturation=1.0, brightness=1.0}
Edge{X1=0.8367876570272816, Y1=0.5277777777777778, X2=0.8260959853756219, Y2=0.5277777777777778, hue=61.406219601631165, saturation=1.0, brightness=1.0}
Edge{X1=0.35566243270259357, Y1=0.19444444444444445, X2=0.36100826852842344, Y2=0.2037037037037037, hue=61.87496781349182, saturation=1.0, brightness=1.0}
Edge{X1=0.24874571618599617, Y1=0.8055555555555555, X2=0.2594373878376559, Y2=0.8055555555555555, hue=62.34371602535248, saturation=1.0, brightness=1.0}
Edge{X1=0.36100826852842344, Y1=0.2037037037037037, X2=0.35566243270259357, Y2=0.21296296296296294, hue=62.812464237213135, saturation=1.0, brightness=1.0}
Edge{X1=0.8260959853756219, Y1=0.5277777777777778, X2=0.8207501495497921, Y2=0.5185185185185185, hue=62.812464237213135, saturation=1.0, brightness=1.0}
Edge{X1=0.35566243270259357, Y1=0.21296296296296294, X2=0.3663541043542533, Y2=0.21296296296296297, hue=63.28121244907379, saturation=1.0, brightness=1.0}
Edge{X1=0.8207501495497921, Y1=0.5185185185185185, X2=0.8154043137239622, Y2=0.5277777777777777, hue=63.74996066093445, saturation=1.0, brightness=1.0}
Edge{X1=0.8154043137239622, Y1=0.5277777777777777, X2=0.8047126420723025, Y2=0.5277777777777777, hue=64.68745708465576, saturation=1.0, brightness=1.0}
Edge{X1=0.3663541043542533, Y1=0.21296296296296297, X2=0.3716999401800831, Y2=0.2222222222222222, hue=64.68745708465576, saturation=1.0, brightness=1.0}
Edge{X1=0.2594373878376559, Y1=0.8055555555555555, X2=0.25409155201182604, Y2=0.7962962962962962, hue=65.15620529651642, saturation=1.0, brightness=1.0}
Edge{X1=0.3716999401800831, Y1=0.2222222222222222, X2=0.36635410435425325, Y2=0.23148148148148148, hue=65.62495350837708, saturation=1.0, brightness=1.0}
Edge{X1=0.8047126420723025, Y1=0.5277777777777777, X2=0.7993668062464726, Y2=0.5185185185185185, hue=65.62495350837708, saturation=1.0, brightness=1.0}
Edge{X1=0.25409155201182604, Y1=0.7962962962962962, X2=0.2594373878376559, Y2=0.787037037037037, hue=66.09370172023773, saturation=1.0, brightness=1.0}
Edge{X1=0.36635410435425325, Y1=0.23148148148148148, X2=0.3556624327025935, Y2=0.23148148148148148, hue=66.56244993209839, saturation=1.0, brightness=1.0}
Edge{X1=0.7993668062464726, Y1=0.5185185185185185, X2=0.8047126420723024, Y2=0.5092592592592592, hue=67.03119814395905, saturation=1.0, brightness=1.0}
Edge{X1=0.2594373878376559, Y1=0.787037037037037, X2=0.24874571618599617, Y2=0.787037037037037, hue=67.4999463558197, saturation=1.0, brightness=1.0}
Edge{X1=0.8047126420723024, Y1=0.5092592592592592, X2=0.7940209704206427, Y2=0.5092592592592593, hue=67.96869456768036, saturation=1.0, brightness=1.0}
Edge{X1=0.3556624327025935, Y1=0.23148148148148148, X2=0.3610082685284234, Y2=0.24074074074074076, hue=67.4999463558197, saturation=1.0, brightness=1.0}
Edge{X1=0.3610082685284234, Y1=0.24074074074074076, X2=0.35566243270259357, Y2=0.25, hue=68.43744277954102, saturation=1.0, brightness=1.0}
Edge{X1=0.7940209704206427, Y1=0.5092592592592593, X2=0.7886751345948129, Y2=0.5, hue=68.90619099140167, saturation=1.0, brightness=1.0}
Edge{X1=0.24874571618599617, Y1=0.787037037037037, X2=0.2433998803601663, Y2=0.7777777777777777, hue=69.37493920326233, saturation=1.0, brightness=1.0}
